age,educ,gender,religion,income,immig,loginc
34,15,Female,No religion,2700,5.3333335,7.9010072
37,15,Female,No religion,2100,7.6666665,7.6496925
41,15,Female,catholic,2500,5,7.8240461
53,14,Male,catholic,5000,6,8.5171928
50,14,Female,No religion,1700,2.6666667,7.4383836
25,14,Male,No religion,1800,4.3333335,7.495542
49,14,Male,catholic,2300,5.6666665,7.7406645
36,12,Female,No religion,900,6,6.8023949
55,13,Female,No religion,1200,5.3333335,7.0900769
33,1,Male,No religion,2800,6,7.9373746
28,17,Female,No religion,2200,7.3333335,7.6962128
34,14,Female,catholic,1100,5.6666665,7.0030656
32,15,Female,catholic,2600,5,7.8632669
55,13,Male,No religion,3200,4,8.0709057
24,12,Male,No religion,2500,4.3333335,7.8240461
39,12,Male,No religion,1800,3,7.495542
57,15,Male,catholic,7000,2,8.8536654
32,16,Female,catholic,1800,7.3333335,7.495542
35,16,Female,No religion,3600,4.6666665,8.1886892
30,17,Female,No religion,2200,7,7.6962128
51,12,Female,No religion,2350,4,7.7621708
21,10,Male,No religion,1800,3.3333333,7.495542
34,16,Female,No religion,3700,5.6666665,8.2160883
38,12,Female,No religion,2000,4.6666665,7.6009026
47,12,Female,catholic,1400,2,7.2442274
24,15,Female,catholic,1600,2.6666667,7.377759
59,12,Female,catholic,1000,3.6666667,6.9077554
42,12,Male,No religion,2700,7.6666665,7.9010072
43,11,Male,No religion,1800,4.6666665,7.495542
27,13,Male,catholic,1850,5,7.5229411
23,12,Female,No religion,2000,2.3333333,7.6009026
42,15,Female,catholic,2800,5.3333335,7.9373746
28,12,Male,No religion,2300,3.6666667,7.7406645
32,15,Male,Islamic,1000,7,6.9077554
56,12,Male,catholic,2500,4.6666665,7.8240461
37,14,Female,No religion,1600,5.6666665,7.377759
50,11,Female,No religion,2000,5,7.6009026
52,10,Male,No religion,2500,4.3333335,7.8240461
62,15,Male,catholic,4971,5.3333335,8.5113764
46,16,Female,No religion,16000,6,9.6803436
40,16,Male,other,5000,6,8.5171928
53,17,Male,No religion,4000,4.3333335,8.2940493
35,13,Female,catholic,1500,4.3333335,7.3132205
33,15,Male,No religion,3880,5,8.2635908
65,12,Female,catholic,500,2,6.2146082
34,22,Male,catholic,1850,7,7.5229411
51,12,Female,No religion,2000,2,7.6009026
53,14,Male,No religion,3300,5.6666665,8.1016779
43,10,Female,No religion,1200,5.3333335,7.0900769
53,12,Male,No religion,2750,6.3333335,7.9193563
26,16,Female,No religion,2200,6.3333335,7.6962128
41,17,Female,No religion,3400,5.3333335,8.1315308
42,13,Male,catholic,1250,5,7.130899
42,16,Female,No religion,3500,6.3333335,8.1605186
26,17,Male,No religion,37000,5,10.518673
31,20,Male,catholic,2000,6,7.6009026
35,18,Female,catholic,3500,6.3333335,8.1605186
59,13,Female,catholic,1600,6,7.377759
55,15,Female,catholic,3400,5.6666665,8.1315308
28,16,Male,No religion,2164,7,7.6797137
